Lot No.,Batch No.,Vm,t5
2021-01-02,1,38.7,3.13
2021-01-02,3,38.2,3.06
2021-01-02,5,38.4,3.22
2021-01-02,7,38.9,3.18
2021-01-02,9,38.8,3.16
2021-01-02,11,38.9,3.14
2021-01-02,13,39.6,3.37
2021-01-02,15,38.8,3.09
2021-01-02,17,38.9,3.27
2021-01-02,19,38.5,3.11
2021-01-02,21,38,3.07
2021-01-02,23,37.8,3.12
2021-01-02,25,37.8,3.22
2021-01-02,27,38.1,3.16
2021-01-02,29,38.6,3.14
2021-01-02,31,38.5,3.13
2021-01-02,33,38.3,3.11
2021-01-02,35,38.3,3.14
2021-01-02,37,38.5,3.18
2021-01-02,39,38.2,3.13
2021-01-02,41,37.9,3.18
2021-01-03,1,38.7,3.28
2021-01-03,3,38.5,3.21
2021-01-03,5,38.8,3.19
2021-01-03,7,39,3.21
2021-01-03,9,39.1,3.2
2021-01-03,11,39,3.19
2021-01-03,13,38.9,3.16
2021-01-03,15,38.8,3.25
2021-01-03,17,39,3.17
2021-01-03,19,39,3.15
2021-01-03,21,38.4,3.2
2021-01-03,23,38.4,3.1
2021-01-03,25,38.2,3.18
2021-01-03,27,38.6,3.19
2021-01-03,29,38.8,3.39
2021-01-03,31,37.9,3.1
2021-01-03,33,38.3,3.13
2021-01-03,35,38,3.07
2021-01-03,37,37,3.16
2021-01-03,39,37.6,3.13
2021-01-03,41,38.2,3.18
2021-01-03,43,38,3.15
2021-01-03,45,38.8,3.1
2021-01-03,47,38.6,3.1
2021-01-04,1,39,3.3
2021-01-04,3,38.8,3.07
2021-01-04,5,38.1,3.08
2021-01-04,7,38.4,3.38
2021-01-04,9,38.2,3.1
2021-01-04,11,37.8,3.22
2021-01-04,13,38,3.09
2021-01-04,15,39.1,3.13
2021-01-04,17,38.8,3.45
2021-01-04,19,39.4,3.26
2021-01-04,21,39.1,3.21
2021-01-04,23,38.1,3.18
2021-01-04,25,38,3.14
2021-01-04,27,37.9,3.14
2021-01-04,29,38.8,3.13
2021-01-04,31,38.8,3.11
2021-01-04,33,38.4,3.14
2021-01-06,1,38.8,3.2
2021-01-06,3,38.8,3.4
2021-01-06,5,38.6,3.08
2021-01-06,7,39,3.17
2021-01-06,9,38.9,3.09
2021-01-06,11,38.7,3.11
2021-01-06,13,38.9,3.17
2021-01-06,15,38.8,3.14
2021-01-06,17,38.3,3.19
2021-01-06,19,38.8,3.29
2021-01-06,21,38.6,3.19
2021-01-07,1,39.9,3.19
2021-01-07,3,40.2,3.13
2021-01-07,5,40.8,3.14
2021-01-07,7,40.2,3.21
2021-01-07,9,39.9,3.09
2021-01-07,11,40.2,3.11
2021-01-07,13,39.8,3.09
2021-01-07,15,40,3.04
2021-01-07,17,39.8,3.08
2021-01-08,1,39.9,3.2
2021-01-08,3,39.7,3.12
2021-01-08,5,39.9,3.06
2021-01-08,7,39.8,3.04
2021-01-08,9,39.8,3.2
2021-01-08,11,40.7,2.56
2021-01-08,13,39.8,3.1
2021-01-08,15,39.3,3.13
2021-01-08,17,40.8,3.12
2021-01-08,19,39.8,3.03
2021-01-08,21,39.2,3.11
2021-01-08,23,39.7,3.12
2021-01-08,25,39.4,3.1
2021-01-08,27,39,3.15
2021-01-08,29,39.1,3.17
2021-01-08,31,40.1,3.07
2021-01-08,33,39,3.1
2021-01-08,35,39.5,3.12
2021-01-09,1,39.8,3.23
2021-01-09,3,39.1,3.16
2021-01-09,5,39.2,3.17
2021-01-09,7,39.9,3.1
2021-01-09,9,39.2,3.1
2021-01-09,11,38.9,3.14
2021-01-09,13,39.2,3.14
2021-01-09,15,38.7,3.15
2021-01-09,17,40,3.06
2021-01-09,19,39.8,3.12
2021-01-09,21,39.4,3.08
2021-01-09,23,39.3,3.41
2021-01-09,25,39.1,3.3
2021-01-09,27,37.5,3.26
2021-01-09,29,38.9,3.4
2021-01-09,31,39,3.32
2021-01-09,33,38.7,3.26
2021-01-09,35,38.6,3.25
2021-01-09,37,38,3.3
2021-01-09,39,37.9,3.29
2021-01-10,1,39.4,3.31
2021-01-10,3,39.8,3.38
2021-01-10,5,39.5,3.19
2021-01-10,7,39.7,3.38
2021-01-10,9,40,3.08
2021-01-10,11,40.2,3.23
2021-01-10,13,39.8,3.19
2021-01-10,15,39.7,3.15
2021-01-10,17,40.2,3.16
2021-01-10,19,40.4,3.3
2021-01-10,21,40.1,3.21
2021-01-10,23,39.6,3.19
2021-01-10,25,39.5,3.14
2021-01-10,27,39.1,3.16
2021-01-10,29,39.3,3.15
2021-01-11,1,40.6,3.14
2021-01-11,3,40.7,3.1
2021-01-11,5,40.6,3.19
2021-01-11,7,39.6,3.21
2021-01-11,9,40.4,3.2
2021-01-11,11,40.4,3.12
2021-01-11,13,40.3,3.14
2021-01-11,15,40.2,3.17
2021-01-11,17,40.1,3.15
2021-01-11,19,39,3.13
2021-01-11,21,38.8,3.18
2021-01-11,23,38.7,3.12
2021-01-11,25,38.3,3.09
2021-01-11,27,40.1,3.24
2021-01-11,29,41.3,3.19
2021-01-11,31,43.4,3.5
2021-01-11,33,43.1,3.12
2021-01-11,35,42.3,3.14
2021-01-11,37,42.5,3.46
2021-01-11,39,41.7,3.17
2021-01-12,1,38.6,3.26
2021-01-12,3,38.9,3.21
2021-01-12,5,38.7,3.25
2021-01-12,7,39.1,3.45
2021-01-12,9,39.8,3.13
2021-01-12,11,39.6,3.23
2021-01-12,13,39.8,3.16
2021-01-12,15,39.7,3.21
2021-01-12,17,40.3,3.15
2021-01-12,19,40.3,3.26
2021-01-12,21,40.1,3.22
2021-01-12,23,39.3,3.24
2021-01-12,25,39.3,3.26
2021-01-12,27,39.8,3.21
2021-01-12,29,39.4,3.17
2021-01-13,1,38.3,3.38
2021-01-13,3,39.2,3.22
2021-01-13,5,40.6,3.33
2021-01-13,7,39.7,3.2
2021-01-13,9,39.8,3.15
2021-01-13,11,41.1,3.36
2021-01-13,13,40.4,3.28
2021-01-13,15,40.2,3.45
2021-01-14,31,39.6,3.19
2021-01-14,33,39.7,3.08
2021-01-14,35,40.6,3.1
2021-01-14,37,39.8,3.24
2021-01-14,39,39.6,3.18
2021-01-14,41,40.4,3.01
2021-01-15,1,39.2,3.15
2021-01-15,3,39.4,3.12
2021-01-15,5,40.1,3.13
2021-01-15,7,40.1,3.08
2021-01-15,9,39.7,3.14
2021-01-15,11,39.3,3.12
2021-01-15,13,39.6,3.14
2021-01-15,15,39.1,3.1
2021-01-15,17,40.3,3.15
2021-01-15,19,40.8,3.09
2021-01-15,21,40.4,3.21
2021-01-15,23,40.6,3.14
2021-01-15,25,41.4,3.36
2021-01-15,27,40.6,3.11
2021-01-15,29,40.2,3.23
2021-01-15,31,39.8,3.11
2021-01-16,1,39.4,3.29
2021-01-16,3,38.7,3.35
2021-01-16,5,38.8,3.31
2021-01-16,7,39,3.33
2021-01-16,9,38.8,3.3
2021-01-16,11,39.2,3.15
2021-01-16,13,38.7,3.26
2021-01-16,15,39,3.26
2021-01-16,17,39.1,3.19
2021-01-16,19,38.1,3.26
2021-01-16,21,39.3,3.01
2021-01-16,23,38.8,3.1
2021-01-16,25,39,3.09
2021-01-16,27,39.1,3.08
2021-01-16,29,38.8,3.06
2021-01-16,31,38.9,3.06
2021-01-16,33,38.6,3.05
2021-01-16,35,38.6,3.06
2021-01-16,37,39.1,3.06
2021-01-16,39,38.5,3.11
2021-01-16,41,38.6,3.15
2021-01-16,43,38.5,3.1
2021-01-16,45,38.9,3.07
2021-01-16,47,38.6,3.1
2021-01-16,49,38.6,3.28
2021-01-16,51,39.1,3.06
2021-01-16,53,38.9,3.08
2021-01-16,55,38.9,3.03
2021-01-16,57,38.8,3.03
2021-01-17,1,37.9,3.17
2021-01-17,3,38.3,3.12
2021-01-17,5,38.7,3
2021-01-17,7,38.7,3.01
2021-01-17,9,38.7,3.06
2021-01-17,11,38.9,3
2021-01-17,13,38.8,3.06
2021-01-17,15,38.6,3.05
2021-01-17,17,38.2,3.13
2021-01-17,19,38.8,3.04
2021-01-17,21,38.3,3.06
2021-01-17,23,38.8,3.03
2021-01-17,25,38.6,3.05
2021-01-17,27,37.6,3.15
2021-01-17,29,37.6,3.17
2021-01-17,31,38.6,3.08
2021-01-17,33,38,3.12
2021-01-17,35,38.1,3.14
2021-01-17,37,38.6,3.12
2021-01-17,39,38.7,3.48
2021-01-17,41,38.2,3.25
2021-01-17,43,38,3.14
2021-01-17,45,37.1,3.14
2021-01-17,47,37.2,3.17
2021-01-17,49,37.7,3.11
2021-01-17,51,38.3,3.13
2021-01-17,53,38.4,3.33
2021-01-17,55,38.4,3.11
2021-01-17,57,38.8,3.22
2021-01-17,59,38.6,3.23
2021-01-17,61,38.3,3.12
2021-01-17,63,38.3,3.1
2021-01-18,1,37.1,3.21
2021-01-18,3,38,3.14
2021-01-18,5,37.6,3.11
2021-01-18,7,38.1,3.1
2021-01-18,9,38.9,3.07
2021-01-18,11,38.8,3.07
2021-01-18,13,38,3.1
2021-01-18,15,38.7,3.07
2021-01-18,17,38.3,3.1
2021-01-18,19,38.1,3.11
2021-01-18,21,38.3,3.16
2021-01-18,23,38.4,3.08
2021-01-20,1,37.6,3.17
2021-01-20,3,37.7,3.11
2021-01-20,5,37.9,3.28
2021-01-20,7,38.2,3.17
2021-01-20,9,37.7,3.14
2021-01-20,11,36,3.46
2021-01-21,1,36.4,3.19
2021-01-21,3,36.5,3.17
2021-01-21,5,36.3,3.11
2021-01-21,7,35.9,3.14
2021-01-21,9,36.8,3.11
2021-01-21,11,37,3.1
2021-01-21,13,36.9,3.12
2021-01-21,15,36.5,3.05
2021-01-21,17,36.9,3.1
2021-01-21,19,37,3.04
2021-01-21,21,36.2,3.13
2021-01-21,23,36.8,3.12
2021-01-21,25,36.6,3.09
2021-01-21,27,36.4,3.13
2021-01-21,29,38.6,3.23
2021-01-21,31,38.9,3.11
2021-01-21,33,38,3.17
2021-01-22,1,37,3.16
2021-01-22,3,36.7,3.27
2021-01-22,5,36.8,3.21
2021-01-22,7,37.2,3.27
2021-01-22,9,37,3.25
2021-01-22,11,37.8,3.28
2021-01-27,1,38.5,3.29
2021-01-27,3,38.9,3.2
2021-01-27,5,38.9,3.32
2021-01-27,7,38.8,3.24
2021-01-27,9,38.3,3.35
2021-01-27,11,38.6,3.24
2021-01-27,13,39.1,3.3
2021-01-27,15,39.5,3.12
2021-01-27,17,38.1,3.22
2021-01-27,19,38.4,3.23
2021-01-27,21,38.3,3.23
2021-01-27,23,38.5,3.19
2021-01-27,25,38.8,3.19
2021-01-27,27,38.3,3.19
2021-01-27,29,38.3,3.26
2021-01-27,31,38.3,3.24
2021-01-27,33,38.3,3.18
2021-01-27,35,38.1,3.28
2021-01-27,37,38.5,3.23
2021-01-27,39,38.4,3.18
2021-01-27,41,38.1,3.24
2021-01-27,43,38.8,3.13
2021-01-27,45,38.8,3.35
2021-01-27,47,38.5,3.21
2021-01-27,49,37.3,3.27
2021-01-27,51,37.9,3.18
2021-01-27,53,38.1,3.17
2021-01-27,55,37.9,3.25
2021-01-27,57,37.9,3.26
2021-01-27,59,38.7,3.09
2021-01-27,61,38.9,3.13
2021-01-27,63,38.3,3.16
2021-01-27,65,38.3,3.14
2021-01-28,1,38.4,3.31
2021-01-28,3,40.7,3.25
2021-01-28,5,40.6,3.39
2021-01-28,7,40.7,3.23
2021-01-28,9,39.1,3.19
2021-01-28,11,39.3,3.21
2021-01-28,13,40.5,3.23
2021-01-28,15,40.5,3.11
2021-01-28,17,40.5,3.17
2021-01-28,19,39.8,3.25
2021-01-28,21,39.3,3.2
2021-01-28,23,40.1,3.11
2021-01-28,25,39.5,3.24
2021-01-28,27,39.5,3.17
2021-01-28,29,40.5,3.09
2021-01-29,1,39.3,3.23
2021-01-29,3,39.3,3.24
2021-01-29,5,39.6,3.27
2021-01-29,7,38.9,3.31
2021-01-29,9,38.6,3.34
2021-01-29,11,39.2,3.27
2021-01-29,13,38.9,3.23
2021-01-29,15,39,3.32
2021-01-29,17,38.8,3.27
2021-01-29,31,40.6,3.18
2021-01-29,33,40.6,3.14
2021-01-29,35,40.8,3.16
2021-01-29,37,40,3.19
2021-01-29,39,39.7,3.17
2021-01-29,41,39.1,3.29
2021-01-29,43,38.9,3.25
2021-01-29,45,39.7,3.3
2021-01-29,47,39.4,3.16
2021-01-29,49,39.2,3.19
2021-01-29,51,39.4,3.2
2021-01-29,53,39.3,3.14
2021-01-30,1,38.2,3.33
2021-01-30,3,38.4,3.26
2021-01-30,5,39.4,3.35
2021-01-30,7,39.2,3.29
2021-01-30,9,38.4,3.23
2021-01-30,11,38.6,3.24
2021-01-30,13,38.6,3.22
2021-01-30,15,38.5,3.24
2021-01-30,17,38.8,3.23
2021-01-30,19,38,3.25
2021-01-30,21,39.4,3.3
2021-01-30,23,38.7,3.28
2021-01-30,25,38.6,3.41
2021-01-30,27,38.7,3.31
2021-01-30,29,38.5,3.28
2021-01-30,31,38.9,3.21
2021-01-30,33,38.7,3.28
2021-01-30,35,39.1,3.19
2021-01-30,37,40,3.4
2021-01-30,39,40.1,3.09
2021-01-30,41,40,3.13
2021-01-30,43,40,3.22
2021-01-30,45,39.6,3.22
2021-01-30,47,40.2,3.17
2021-01-30,49,39.9,3.17
2021-01-30,51,39.8,3.4
2021-01-30,53,39.8,3.42
2021-01-31,1,38.1,3.45
2021-01-31,3,37.9,3.44
2021-01-31,5,37.2,3.54
2021-01-31,7,37.3,3.51
2021-01-31,9,37.6,3.48
2021-01-31,11,37.6,3.48
2021-01-31,13,37.9,4.01
2021-01-31,15,37.9,3.46
2021-01-31,17,37.7,3.41
2021-01-31,19,37.6,3.42
2021-01-31,21,37.5,3.5
2021-01-31,23,37.2,3.49
2021-01-31,25,37.4,3.45
2021-01-31,27,36.7,3.45
2021-01-31,29,37.3,3.44
2021-01-31,31,37,3.43
2021-01-31,33,36.9,3.42
2021-01-31,35,37.3,3.43
2021-01-31,37,37.2,3.42
2021-01-31,39,36.8,3.47
2021-01-31,41,36.7,3.36
2021-01-31,43,36.9,3.4
2021-01-31,45,37.1,3.34
2021-01-31,47,37,3.35
2021-01-31,49,36.5,3.39
2021-02-01,1,37.4,3.44
2021-02-01,3,37.7,3.46
2021-02-01,5,37.9,3.57
2021-02-01,7,37.8,3.42
2021-02-01,9,38,3.44
2021-02-01,11,38.2,3.43
2021-02-01,13,38.6,3.29
2021-02-01,15,38.3,3.41
2021-02-01,17,38.4,3.3
2021-02-01,19,38.7,3.3
2021-02-01,21,37.8,3.38
2021-02-01,23,37.8,3.27
2021-02-01,25,37.4,3.31
2021-02-01,27,36.9,3.33
2021-02-01,29,38,3.28
2021-02-01,31,38.1,3.29
2021-02-01,33,37.9,3.27
2021-02-01,35,37.7,3.44
2021-02-01,37,37.4,3.4
2021-02-01,39,37.7,3.24
2021-02-01,41,37,3.3
2021-02-03,1,39.4,3.37
2021-02-03,3,39.8,3.36
2021-02-03,5,39.6,3.27
2021-02-03,7,40.1,3.2
2021-02-03,9,39.8,3.23
2021-02-03,11,40,3.27
2021-02-03,13,39.9,3.2
2021-02-03,15,40,3.37
2021-02-03,17,40.1,3.26
2021-02-04,1,41.1,3.37
2021-02-04,2,40.9,3.22
2021-02-04,3,41.2,3.13
2021-02-04,4,41.6,3.08
2021-02-04,5,41.9,3.03
2021-02-04,6,41.7,3.19
2021-02-04,7,41.6,3.13
2021-02-04,8,41.5,3.15
2021-02-04,9,41.9,3.35
2021-02-04,10,42.5,3.1
2021-02-04,11,42.7,3.12
2021-02-04,12,42.4,3.15
2021-02-04,13,42.1,3.18
2021-02-04,15,42.2,3.18
2021-02-04,17,42,3.24
2021-02-04,19,41.6,3.16
2021-02-04,21,41.9,3.14
2021-02-04,23,42.9,3.22
2021-02-04,25,41.8,3.23
2021-02-04,27,42.1,3.18
2021-02-04,29,42.3,3.25
2021-02-04,31,42.4,3.37
2021-02-04,33,41.9,3.19
2021-02-04,35,41.9,3.21
2021-02-04,37,41.9,3.19
2021-02-04,39,41.9,3.25
2021-02-04,41,42,3.17
2021-02-04,43,42.1,3.15
2021-02-04,45,41.9,3.16
2021-02-04,47,41.3,3.23
2021-02-05,1,40.4,3.36
2021-02-05,3,40.1,3.32
2021-02-05,5,41.6,3.21
2021-02-05,7,39.7,3.22
2021-02-05,9,39.5,3.36
2021-02-05,11,40.3,3.23
2021-02-05,13,40.4,3.3
2021-02-05,15,39.2,3.33
2021-02-05,17,39.5,3.24
2021-02-05,19,40.6,3.24
2021-02-05,21,39.8,3.32
2021-02-05,23,40.1,3.26
2021-02-05,25,39.9,3.4
2021-02-05,27,39.8,3.27
2021-02-05,29,40.3,3.24
2021-02-05,31,41,3.2
2021-02-05,33,39.9,3.25
2021-02-05,35,40,3.19
2021-02-05,37,40.9,3.23
2021-02-05,39,40.6,3.27
2021-02-05,41,40.7,3.25
2021-02-05,43,40.6,3.22
2021-02-05,45,40.4,3.31
2021-02-05,47,39.9,3.22
2021-02-05,49,40.1,3.3
2021-02-05,51,40.3,3.49
2021-02-05,53,39.8,3.28
2021-02-05,55,39.2,3.34
2021-02-05,57,39,3.42
2021-02-05,59,38.6,3.4
2021-02-10,1,39.9,3.31
2021-02-10,3,39.8,3.36
2021-02-10,5,39.3,3.34
2021-02-10,7,39.2,3.41
2021-02-10,9,39,3.37
2021-02-10,11,39.3,3.41
2021-02-10,13,39.5,3.33
2021-02-10,15,39.3,3.49
2021-02-10,17,39,3.24
2021-02-10,19,39,3.3
2021-02-10,21,39.7,3.43
2021-02-10,23,39.9,3.27
2021-02-10,25,39.5,3.24
2021-02-10,27,38.8,3.34
2021-02-10,29,38.7,3.34
2021-02-10,31,39.5,3.27
2021-02-10,33,39.2,3.37
2021-02-10,35,39.8,3.24
2021-02-10,37,39.1,3.28
2021-02-10,39,39.1,3.35
2021-02-10,1,40.4,3.39
2021-02-10,3,40.6,3.37
2021-02-10,5,40.6,3.24
2021-02-10,7,40.2,3.27
2021-02-10,9,41.3,3.3
2021-02-10,11,41.1,3.31
2021-02-10,13,40.8,3.46
2021-02-10,15,40.6,3.32
2021-02-10,17,39.5,3.39
2021-02-10,19,40.4,3.48
2021-02-10,21,39.3,3.41
2021-02-10,23,38.7,3.5
2021-02-10,25,39.1,3.48
2021-02-10,27,38.5,3.52
2021-02-10,29,37.9,3.5
2021-02-10,1,37.9,3.34
2021-02-10,3,38,3.35
2021-02-10,5,38.3,3.33
2021-02-10,7,37.9,3.3
2021-02-10,9,38.3,3.57
2021-02-10,11,38.7,3.29
2021-02-10,13,39.1,3.25
2021-02-10,15,38.4,3.32
2021-02-10,17,38.6,3.35
2021-02-10,19,38.5,3.3
2021-02-10,21,39.4,3.42
2021-02-10,23,39.9,3.23
2021-02-10,25,39.3,3.27
2021-02-10,27,38.6,3.28
2021-02-10,29,39.1,3.5
2021-02-10,31,38.6,3.21
2021-02-10,33,39.3,3.24
2021-02-10,35,38.5,3.28
2021-02-10,37,39.5,3.28
2021-02-10,39,39.5,3.21
2021-02-10,41,39.4,3.21
2021-02-17,1,38.3,4
2021-02-17,3,38.5,3.18
2021-02-17,5,38.9,3.26
2021-02-17,7,39.9,3.21
2021-02-17,9,39.7,3.3
2021-02-17,11,39,3.23
2021-02-17,13,38.7,3.32
2021-02-17,15,39.6,3.24
2021-02-17,17,39.4,3.28
2021-02-17,19,42.4,3.33
2021-02-17,21,41.4,3.25
2021-02-17,23,40.8,3.26
2021-02-17,25,40.4,3.29
2021-02-17,27,40.6,3.25
2021-02-17,29,40.4,3.25
2021-02-17,31,39.8,3.16
2021-02-17,33,39.2,3.42
2021-02-17,35,39.4,3.28
2021-02-17,37,39.7,3.25
2021-02-17,39,39.2,3.33
2021-02-17,41,39.5,3.37
2021-02-17,43,39.2,3.21
2021-02-17,45,39.2,3.23
2021-02-17,47,40.1,3.19
2021-02-18,1,38.2,3.35
2021-02-18,3,39.2,3.269
2021-02-18,5,39,3.29
2021-02-18,7,38.4,3.25
2021-02-18,9,38.7,3.2
2021-02-18,11,39.3,3.19
2021-02-18,13,39.9,3.09
2021-02-18,15,39.6,3.15
2021-02-18,17,39.5,3.16
2021-02-18,19,39.2,3.17
2021-02-18,21,39,3.18
2021-02-18,23,38.6,3.12
2021-02-18,25,38.9,3.12
2021-02-18,27,38.3,3.17
2021-02-18,29,38.7,3.12
2021-02-19,1,39.4,3.34
2021-02-19,3,39.6,3.24
2021-02-19,5,39.3,3.17
2021-02-19,7,39.8,3.17
2021-02-19,9,39.8,3.17
2021-02-19,11,40,3.15
2021-02-24,1,38.6,3.21
2021-02-24,3,38.7,3.16
2021-02-24,5,40,3.13
2021-02-24,7,39.3,3.21
2021-02-24,9,40.6,3.21
2021-02-24,11,39.3,3.158
2021-02-24,13,39.6,3.19
2021-02-24,15,39.9,3.17
2021-02-24,17,40.1,3.14
2021-02-24,19,39.8,3.13
2021-02-24,21,39.9,3.2
2021-02-24,23,40.2,3.13
2021-02-24,25,39.4,3.14
2021-02-24,27,39.7,3.12
2021-02-24,29,39.8,3.36
2021-02-24,31,39.7,3.12
2021-02-24,33,40.2,3.04
2021-02-24,35,40.6,3.05
2021-02-24,37,40.5,3.14
2021-02-24,39,40.5,3.11
2021-02-24,41,41.8,3.1
2021-02-24,43,39.7,3.13
2021-02-24,45,39.5,3.12
2021-02-24,47,39.4,3.08
2021-02-24,49,39.9,3.08
2021-02-24,51,40.1,3.07
2021-02-24,53,39.5,3.05
2021-02-25,1,40.7,3.25
2021-02-25,3,40.4,3.25
2021-02-25,5,40.6,3.21
2021-02-25,7,40.2,3.29
2021-02-25,9,41.6,3.15
2021-02-25,11,42.3,3.2
2021-02-25,13,41.6,3.16
2021-02-25,15,40.7,3.27
2021-02-25,17,40.8,3.1
2021-02-25,19,40.1,3.11
2021-02-25,21,39.6,3.14
2021-02-25,23,40.6,3.16
2021-02-25,25,40.2,3.12
2021-02-25,27,40,3.15
2021-02-25,29,40.5,3.14
2021-02-25,31,39.6,3.17
2021-02-25,33,39.7,3.17
2021-02-25,35,39.8,3.17
2021-02-25,37,39.6,3.19
2021-02-25,39,39.8,3.14
2021-02-25,41,41,3.19
2021-02-25,43,41.6,3.17
2021-02-25,45,41.4,3.12
2021-02-25,47,41,3.17
2021-02-25,49,40.6,3.17
2021-02-25,51,40.4,3.16
2021-02-28,1,37.3,3.37
2021-02-28,3,37.8,3.29
2021-02-28,5,38.2,3.33
2021-02-28,7,38.4,3.27
2021-02-28,9,38.1,3.23
2021-02-28,11,38.1,3.31
2021-02-28,13,38.1,3.39
2021-02-28,15,38,3.24
2021-02-28,17,38.2,3.53
2021-02-28,19,38.4,3.23
2021-02-28,21,38.7,3.19
2021-02-28,23,37.8,3.43
2021-02-28,25,37.8,3.23
2021-02-28,27,38,3.2
2021-02-28,29,39.2,3.18
2021-02-28,31,39,3.19
2021-02-28,33,39.4,3.19
2021-02-28,35,39.8,3.19
2021-02-28,37,39.4,3.22
2021-02-28,39,39,3.28
2021-03-02,1,38.7,3.16
2021-03-02,3,39,3.16
2021-03-02,5,39.4,3.12
2021-03-02,7,39.5,3.1
2021-03-02,9,40.5,3.17
2021-03-02,11,40.2,3.1
2021-03-02,13,40,3.12
2021-03-02,15,40,3.13
2021-03-02,17,39.4,3.14
2021-03-02,19,39.4,3.16
2021-03-02,21,39.7,3.22
2021-03-02,23,40.5,3.13
2021-03-02,25,39.4,3.14
2021-03-02,27,39.1,3.16
2021-03-02,29,39.5,3.14
2021-03-02,31,39.9,3.13
